"fieldID","name","packageType"
281,"Stanwood-IA","Fifth Vegetative"
282,"Kilbourne-IL","Stand Count"
282,"Kilbourne-IL","Third Vegetative"
282,"Kilbourne-IL","Fifth Vegetative"
283,"Springfield-IL","Stand Count"
283,"Springfield-IL","Third Vegetative"
283,"Springfield-IL","Fifth Vegetative"
284,"Philo-IL","Stand Count"
284,"Philo-IL","Third Vegetative"
284,"Philo-IL","Fifth Vegetative"
285,"Trenton-IL","Stand Count"
285,"Trenton-IL","Third Vegetative"
285,"Trenton-IL","Fifth Vegetative"
286,"Effingham-IL","Stand Count"
286,"Effingham-IL","Third Vegetative"
286,"Effingham-IL","Fifth Vegetative"
287,"Macomb-IL","Stand Count"
287,"Macomb-IL","Third Vegetative"
287,"Macomb-IL","Fifth Vegetative"
288,"Osco-IL","Stand Count"
288,"Osco-IL","Third Vegetative"
288,"Osco-IL","Fifth Vegetative"
289,"CerroGordo-IL","Stand Count"
289,"CerroGordo-IL","Third Vegetative"
289,"CerroGordo-IL","Fifth Vegetative"
290,"Shipman-IL","Stand Count"
290,"Shipman-IL","Third Vegetative"
290,"Shipman-IL","Fifth Vegetative"
293,"FtBranch-IN","Stand Count"
293,"FtBranch-IN","Third Vegetative"
293,"FtBranch-IN","Fifth Vegetative"
294,"Perrysville-IN","Stand Count"
294,"Perrysville-IN","Third Vegetative"
294,"Perrysville-IN","Fifth Vegetative"
296,"Farmersburg-IN","Stand Count"
296,"Farmersburg-IN","Third Vegetative"
296,"Farmersburg-IN","Fifth Vegetative"
297,"Austin-IN","Stand Count"
297,"Austin-IN","Third Vegetative"
297,"Austin-IN","Fifth Vegetative"
300,"Demotte-IN","Stand Count"
300,"Demotte-IN","Third Vegetative"
300,"Demotte-IN","Fifth Vegetative"
304,"Franklin-IN","Stand Count"
304,"Franklin-IN","Third Vegetative"
304,"Franklin-IN","Fifth Vegetative"
312,"Faulkton-SD","Stand Count"
312,"Faulkton-SD","Third Vegetative"
312,"Faulkton-SD","Fifth Vegetative"
315,"Strasburg-ND","Stand Count"
315,"Strasburg-ND","Third Vegetative"
315,"Strasburg-ND","Fifth Vegetative"
317,"Pierre-SD","Stand Count"
317,"Pierre-SD","Third Vegetative"
317,"Pierre-SD","Fifth Vegetative"
320,"Precision Ag - Innovation","First Vegetative"
320,"Precision Ag - Innovation","Third Vegetative"
320,"Precision Ag - Innovation","Fifth Vegetative"
321,"Agronomy - SW4","First Vegetative"
321,"Agronomy - SW4","Third Vegetative"
321,"Agronomy - SW4","Fifth Vegetative"
322,"Agronomy - SW1","First Vegetative"
322,"Agronomy - SW1","Third Vegetative"
322,"Agronomy - SW1","Fifth Vegetative"
323,"Agronomy - SW3","First Vegetative"
323,"Agronomy - SW3","Third Vegetative"
323,"Agronomy - SW3","Fifth Vegetative"
573,"Agronomy SW4N","First Vegetative"
573,"Agronomy SW4N","Third Vegetative"
573,"Agronomy SW4N","Fifth Vegetative"
576,"Agronomy - SW5","First Vegetative"
576,"Agronomy - SW5","Third Vegetative"
576,"Agronomy - SW5","Fifth Vegetative"
578,"Agronomy - NE7","First Vegetative"
578,"Agronomy - NE7","Third Vegetative"
578,"Agronomy - NE7","Fifth Vegetative"
326,"Field 1 ","First Vegetative"
326,"Field 1 ","Third Vegetative"
326,"Field 1 ","Fifth Vegetative"
363,"2091-BAILEY","First Vegetative"
363,"2091-BAILEY","Third Vegetative"
363,"2091-BAILEY","Fifth Vegetative"
365,"2131-BURBRINK","First Vegetative"
365,"2131-BURBRINK","Third Vegetative"
365,"2131-BURBRINK","Fifth Vegetative"
388,"2092-BAILEY WEST","First Vegetative"
388,"2092-BAILEY WEST","Third Vegetative"
388,"2092-BAILEY WEST","Fifth Vegetative"
395,"3208-STOOKEY","First Vegetative"
395,"3208-STOOKEY","Third Vegetative"
395,"3208-STOOKEY","Fifth Vegetative"
396,"3250-BAILEY HOME","First Vegetative"
396,"3250-BAILEY HOME","Third Vegetative"
396,"3250-BAILEY HOME","Fifth Vegetative"
438,"3218-BAUM","First Vegetative"
438,"3218-BAUM","Third Vegetative"
438,"3218-BAUM","Fifth Vegetative"
479,"3249-POLK WEBSTER","First Vegetative"
479,"3249-POLK WEBSTER","Third Vegetative"
479,"3249-POLK WEBSTER","Fifth Vegetative"
491,"2132-ROWLAND","First Vegetative"
491,"2132-ROWLAND","Third Vegetative"
491,"2132-ROWLAND","Fifth Vegetative"
327,"House","First Vegetative"
327,"House","Third Vegetative"
327,"House","Fifth Vegetative"
330,"K-State East","First Vegetative"
330,"K-State East","Third Vegetative"
330,"K-State East","Fifth Vegetative"
331,"K-State West","First Vegetative"
331,"K-State West","Third Vegetative"
331,"K-State West","Fifth Vegetative"
332,"Spider Ag Cover Crop/Quick Roots Trial","First Vegetative"
332,"Spider Ag Cover Crop/Quick Roots Trial","Third Vegetative"
332,"Spider Ag Cover Crop/Quick Roots Trial","Fifth Vegetative"
333,"K State West","First Vegetative"
333,"K State West","Third Vegetative"
333,"K State West","Fifth Vegetative"
334,"Drew House","First Vegetative"
334,"Drew House","Third Vegetative"
334,"Drew House","Fifth Vegetative"
338,"Home Place","First Vegetative"
338,"Home Place","Third Vegetative"
338,"Home Place","Fifth Vegetative"
339,"The 80","First Vegetative"
339,"The 80","Third Vegetative"
339,"The 80","Fifth Vegetative"
341,"Kennings","First Vegetative"
341,"Kennings","Third Vegetative"
341,"Kennings","Fifth Vegetative"
344,"Kings","First Vegetative"
344,"Kings","Third Vegetative"
344,"Kings","Fifth Vegetative"
354,"Humboldt Farm","First Vegetative"
354,"Humboldt Farm","Third Vegetative"
354,"Humboldt Farm","Fifth Vegetative"
569,"Across from Bins","First Vegetative"
569,"Across from Bins","Third Vegetative"
569,"Across from Bins","Fifth Vegetative"
570,"Across Road from Bins","First Vegetative"
570,"Across Road from Bins","Third Vegetative"
570,"Across Road from Bins","Fifth Vegetative"
579,"North Field","First Vegetative"
579,"North Field","Third Vegetative"
579,"North Field","Fifth Vegetative"
580,"South Corn","First Vegetative"
580,"South Corn","Third Vegetative"
580,"South Corn","Fifth Vegetative"
591,"Jim Home North","First Vegetative"
591,"Jim Home North","Third Vegetative"
591,"Jim Home North","Fifth Vegetative"
592,"Jim Home South","First Vegetative"
592,"Jim Home South","Third Vegetative"
592,"Jim Home South","Fifth Vegetative"
593,"Jim North","First Vegetative"
593,"Jim North","Third Vegetative"
593,"Jim North","Fifth Vegetative"
594,"Esther East","First Vegetative"
594,"Esther East","Third Vegetative"
594,"Esther East","Fifth Vegetative"
595,"Jim Home North","First Vegetative"
595,"Jim Home North","Third Vegetative"
595,"Jim Home North","Fifth Vegetative"
582,"Pitts 5","First Vegetative"
582,"Pitts 5","Third Vegetative"
582,"Pitts 5","Fifth Vegetative"
583,"Pitts 5","First Vegetative"
583,"Pitts 5","Third Vegetative"
583,"Pitts 5","Fifth Vegetative"
584,"Hoover/Wagner North","First Vegetative"
584,"Hoover/Wagner North","Third Vegetative"
584,"Hoover/Wagner North","Fifth Vegetative"
585,"Peterson","First Vegetative"
585,"Peterson","Third Vegetative"
585,"Peterson","Fifth Vegetative"
586,"Westcott/Rebuhn","First Vegetative"
586,"Westcott/Rebuhn","Third Vegetative"
586,"Westcott/Rebuhn","Fifth Vegetative"
587,"Lone Tree 9","First Vegetative"
587,"Lone Tree 9","Third Vegetative"
587,"Lone Tree 9","Fifth Vegetative"
588,"Hartje NE","First Vegetative"
588,"Hartje NE","Third Vegetative"
588,"Hartje NE","Fifth Vegetative"
589,"Hartje NW","First Vegetative"
589,"Hartje NW","Third Vegetative"
589,"Hartje NW","Fifth Vegetative"
590,"Hartje West","First Vegetative"
590,"Hartje West","Third Vegetative"
590,"Hartje West","Fifth Vegetative"
625,"Betty's","First Vegetative"
625,"Betty's","Third Vegetative"
625,"Betty's","Fifth Vegetative"
626,"Home Farm Split","First Vegetative"
626,"Home Farm Split","Third Vegetative"
626,"Home Farm Split","Fifth Vegetative"
628,"Robert Grossman","First Vegetative"
628,"Robert Grossman","Third Vegetative"
628,"Robert Grossman","Fifth Vegetative"
632,"Larry Jr. Farm","First Vegetative"
632,"Larry Jr. Farm","Third Vegetative"
632,"Larry Jr. Farm","Fifth Vegetative"
634,"Home","First Vegetative"
634,"Home","Third Vegetative"
634,"Home","Fifth Vegetative"
635,"Mike's","First Vegetative"
635,"Mike's","Third Vegetative"
635,"Mike's","Fifth Vegetative"
636,"KTNW & KTNE","First Vegetative"
636,"KTNW & KTNE","Third Vegetative"
636,"KTNW & KTNE","Fifth Vegetative"
667,"Joe-40","First Vegetative"
667,"Joe-40","Third Vegetative"
667,"Joe-40","Fifth Vegetative"
668,"Jansen","First Vegetative"
668,"Jansen","Third Vegetative"
668,"Jansen","Fifth Vegetative"
669,"PH 2","First Vegetative"
669,"PH 2","Third Vegetative"
669,"PH 2","Fifth Vegetative"
670,"PH3","First Vegetative"
670,"PH3","Third Vegetative"
670,"PH3","Fifth Vegetative"
676,"Corn Field 1","First Vegetative"
676,"Corn Field 1","Third Vegetative"
676,"Corn Field 1","Fifth Vegetative"
679,"Apple Field 1","First Vegetative"
679,"Apple Field 1","Third Vegetative"
679,"Apple Field 1","Fifth Vegetative"
680,"Apple Field 2","First Vegetative"
680,"Apple Field 2","Third Vegetative"
680,"Apple Field 2","Fifth Vegetative"
