"fieldID","name","packageType"
277,"Richland-IA","Third Vegetative"
277,"Richland-IA","Fifth Vegetative"
278,"Pella-IA","Stand Count"
278,"Pella-IA","Third Vegetative"
278,"Pella-IA","Fifth Vegetative"
279,"Creston-IA","Stand Count"
279,"Creston-IA","Third Vegetative"
279,"Creston-IA","Fifth Vegetative"
280,"Manchester-IA","Stand Count"
280,"Manchester-IA","Third Vegetative"
280,"Manchester-IA","Fifth Vegetative"
281,"Stanwood-IA","Stand Count"
281,"Stanwood-IA","Third Vegetative"
281,"Stanwood-IA","Fifth Vegetative"
282,"Kilbourne-IL","Stand Count"
282,"Kilbourne-IL","Third Vegetative"
282,"Kilbourne-IL","Fifth Vegetative"
283,"Springfield-IL","Stand Count"
283,"Springfield-IL","Third Vegetative"
283,"Springfield-IL","Fifth Vegetative"
284,"Philo-IL","Stand Count"
284,"Philo-IL","Third Vegetative"
284,"Philo-IL","Fifth Vegetative"
285,"Trenton-IL","Stand Count"
285,"Trenton-IL","Third Vegetative"
285,"Trenton-IL","Fifth Vegetative"
286,"Effingham-IL","Stand Count"
286,"Effingham-IL","Third Vegetative"
286,"Effingham-IL","Fifth Vegetative"
287,"Macomb-IL","Stand Count"
287,"Macomb-IL","Third Vegetative"
287,"Macomb-IL","Fifth Vegetative"
288,"Osco-IL","Stand Count"
288,"Osco-IL","Third Vegetative"
288,"Osco-IL","Fifth Vegetative"
289,"CerroGordo-IL","Stand Count"
289,"CerroGordo-IL","Third Vegetative"
289,"CerroGordo-IL","Fifth Vegetative"
290,"Shipman-IL","Stand Count"
290,"Shipman-IL","Third Vegetative"
290,"Shipman-IL","Fifth Vegetative"
291,"TroyGrove-IL","Stand Count"
291,"TroyGrove-IL","Third Vegetative"
291,"TroyGrove-IL","Fifth Vegetative"
292,"DeKalb-IL","Stand Count"
292,"DeKalb-IL","Third Vegetative"
292,"DeKalb-IL","Fifth Vegetative"
293,"FtBranch-IN","Stand Count"
293,"FtBranch-IN","Third Vegetative"
293,"FtBranch-IN","Fifth Vegetative"
294,"Perrysville-IN","Stand Count"
294,"Perrysville-IN","Third Vegetative"
294,"Perrysville-IN","Fifth Vegetative"
296,"Farmersburg-IN","Stand Count"
296,"Farmersburg-IN","Third Vegetative"
296,"Farmersburg-IN","Fifth Vegetative"
297,"Austin-IN","Stand Count"
297,"Austin-IN","Third Vegetative"
297,"Austin-IN","Fifth Vegetative"
300,"Demotte-IN","Stand Count"
300,"Demotte-IN","Third Vegetative"
300,"Demotte-IN","Fifth Vegetative"
301,"Lafayette-IN","Stand Count"
301,"Lafayette-IN","Third Vegetative"
301,"Lafayette-IN","Fifth Vegetative"
304,"Franklin-IN","Stand Count"
304,"Franklin-IN","Third Vegetative"
304,"Franklin-IN","Fifth Vegetative"
312,"Faulkton-SD","Stand Count"
312,"Faulkton-SD","Third Vegetative"
312,"Faulkton-SD","Fifth Vegetative"
315,"Strasburg-ND","Stand Count"
315,"Strasburg-ND","Third Vegetative"
315,"Strasburg-ND","Fifth Vegetative"
317,"Pierre-SD","Stand Count"
317,"Pierre-SD","Third Vegetative"
317,"Pierre-SD","Fifth Vegetative"
320,"Precision Ag - Innovation","Second Vegetative"
320,"Precision Ag - Innovation","Fourth Vegetative"
320,"Precision Ag - Innovation","Sixth Vegetative"
321,"Agronomy - SW4","Second Vegetative"
321,"Agronomy - SW4","Fourth Vegetative"
321,"Agronomy - SW4","Sixth Vegetative"
322,"Agronomy - SW1","Second Vegetative"
322,"Agronomy - SW1","Fourth Vegetative"
322,"Agronomy - SW1","Sixth Vegetative"
323,"Agronomy - SW3","Second Vegetative"
323,"Agronomy - SW3","Fourth Vegetative"
323,"Agronomy - SW3","Sixth Vegetative"
573,"Agronomy SW4N","Second Vegetative"
573,"Agronomy SW4N","Fourth Vegetative"
573,"Agronomy SW4N","Sixth Vegetative"
576,"Agronomy - SW5","Second Vegetative"
576,"Agronomy - SW5","Fourth Vegetative"
576,"Agronomy - SW5","Sixth Vegetative"
578,"Agronomy - NE7","Second Vegetative"
578,"Agronomy - NE7","Fourth Vegetative"
578,"Agronomy - NE7","Sixth Vegetative"
326,"Field 1 ","Second Vegetative"
326,"Field 1 ","Fourth Vegetative"
326,"Field 1 ","Sixth Vegetative"
363,"2091-BAILEY","Second Vegetative"
363,"2091-BAILEY","Fourth Vegetative"
363,"2091-BAILEY","Sixth Vegetative"
365,"2131-BURBRINK","Second Vegetative"
365,"2131-BURBRINK","Fourth Vegetative"
365,"2131-BURBRINK","Sixth Vegetative"
388,"2092-BAILEY WEST","Second Vegetative"
388,"2092-BAILEY WEST","Fourth Vegetative"
388,"2092-BAILEY WEST","Sixth Vegetative"
395,"3208-STOOKEY","Second Vegetative"
395,"3208-STOOKEY","Fourth Vegetative"
395,"3208-STOOKEY","Sixth Vegetative"
396,"3250-BAILEY HOME","Second Vegetative"
396,"3250-BAILEY HOME","Fourth Vegetative"
396,"3250-BAILEY HOME","Sixth Vegetative"
438,"3218-BAUM","Second Vegetative"
438,"3218-BAUM","Fourth Vegetative"
438,"3218-BAUM","Sixth Vegetative"
479,"3249-POLK WEBSTER","Second Vegetative"
479,"3249-POLK WEBSTER","Fourth Vegetative"
479,"3249-POLK WEBSTER","Sixth Vegetative"
491,"2132-ROWLAND","Second Vegetative"
491,"2132-ROWLAND","Fourth Vegetative"
491,"2132-ROWLAND","Sixth Vegetative"
327,"House","Second Vegetative"
327,"House","Fourth Vegetative"
327,"House","Sixth Vegetative"
330,"K-State East","Second Vegetative"
330,"K-State East","Fourth Vegetative"
330,"K-State East","Sixth Vegetative"
331,"K-State West","Second Vegetative"
331,"K-State West","Fourth Vegetative"
331,"K-State West","Sixth Vegetative"
332,"Spider Ag Cover Crop/Quick Roots Trial","Second Vegetative"
332,"Spider Ag Cover Crop/Quick Roots Trial","Fourth Vegetative"
332,"Spider Ag Cover Crop/Quick Roots Trial","Sixth Vegetative"
333,"K State West","Second Vegetative"
333,"K State West","Fourth Vegetative"
333,"K State West","Sixth Vegetative"
334,"Drew House","Second Vegetative"
334,"Drew House","Fourth Vegetative"
334,"Drew House","Sixth Vegetative"
336,"Patterson Ranch- South Bottom","Second Vegetative"
336,"Patterson Ranch- South Bottom","Fourth Vegetative"
336,"Patterson Ranch- South Bottom","Sixth Vegetative"
338,"Home Place","Second Vegetative"
338,"Home Place","Fourth Vegetative"
338,"Home Place","Sixth Vegetative"
339,"The 80","Second Vegetative"
339,"The 80","Fourth Vegetative"
339,"The 80","Sixth Vegetative"
340,"Oyers","Second Vegetative"
340,"Oyers","Fourth Vegetative"
340,"Oyers","Sixth Vegetative"
341,"Kennings","Second Vegetative"
341,"Kennings","Fourth Vegetative"
341,"Kennings","Sixth Vegetative"
342,"Gary's","Second Vegetative"
342,"Gary's","Fourth Vegetative"
342,"Gary's","Sixth Vegetative"
343,"Jones","Second Vegetative"
343,"Jones","Fourth Vegetative"
343,"Jones","Sixth Vegetative"
344,"Kings","Second Vegetative"
344,"Kings","Fourth Vegetative"
344,"Kings","Sixth Vegetative"
345,"Eigsti's","Second Vegetative"
345,"Eigsti's","Fourth Vegetative"
345,"Eigsti's","Sixth Vegetative"
346,"Michelle's","Second Vegetative"
346,"Michelle's","Fourth Vegetative"
346,"Michelle's","Sixth Vegetative"
347,"Topliff Farm","Second Vegetative"
347,"Topliff Farm","Fourth Vegetative"
347,"Topliff Farm","Sixth Vegetative"
348,"North of Dredge","Second Vegetative"
348,"North of Dredge","Fourth Vegetative"
348,"North of Dredge","Sixth Vegetative"
349,"South of Dredge","Second Vegetative"
349,"South of Dredge","Fourth Vegetative"
349,"South of Dredge","Sixth Vegetative"
350,"Bowen's","Second Vegetative"
350,"Bowen's","Fourth Vegetative"
350,"Bowen's","Sixth Vegetative"
351,"Sally's","Second Vegetative"
351,"Sally's","Fourth Vegetative"
351,"Sally's","Sixth Vegetative"
352,"Bill's Home","Second Vegetative"
352,"Bill's Home","Fourth Vegetative"
352,"Bill's Home","Sixth Vegetative"
353,"Horace's","Second Vegetative"
353,"Horace's","Fourth Vegetative"
353,"Horace's","Sixth Vegetative"
354,"Humboldt Farm","Second Vegetative"
354,"Humboldt Farm","Fourth Vegetative"
354,"Humboldt Farm","Sixth Vegetative"
531,"Edgeley Pivots","Second Vegetative"
531,"Edgeley Pivots","Fourth Vegetative"
531,"Edgeley Pivots","Sixth Vegetative"
542,"Carrington Pivots 4","Second Vegetative"
542,"Carrington Pivots 4","Fourth Vegetative"
542,"Carrington Pivots 4","Sixth Vegetative"
552,"Carrington Pivots 2","Second Vegetative"
552,"Carrington Pivots 2","Fourth Vegetative"
552,"Carrington Pivots 2","Sixth Vegetative"
554,"Bee-Hive","Second Vegetative"
554,"Bee-Hive","Fourth Vegetative"
554,"Bee-Hive","Sixth Vegetative"
568,"Carrington Pivots 1","Second Vegetative"
568,"Carrington Pivots 1","Fourth Vegetative"
568,"Carrington Pivots 1","Sixth Vegetative"
569,"Across from Bins","Second Vegetative"
569,"Across from Bins","Fourth Vegetative"
569,"Across from Bins","Sixth Vegetative"
570,"Across Road from Bins","Second Vegetative"
570,"Across Road from Bins","Fourth Vegetative"
570,"Across Road from Bins","Sixth Vegetative"
1011,"HQ - NE","Second Vegetative"
1011,"HQ - NE","Fourth Vegetative"
1011,"HQ - NE","Sixth Vegetative"
579,"North Field","Second Vegetative"
579,"North Field","Fourth Vegetative"
579,"North Field","Sixth Vegetative"
580,"South Corn","Second Vegetative"
580,"South Corn","Fourth Vegetative"
580,"South Corn","Sixth Vegetative"
591,"Jim Home North","Second Vegetative"
591,"Jim Home North","Fourth Vegetative"
591,"Jim Home North","Sixth Vegetative"
592,"Jim Home South","Second Vegetative"
592,"Jim Home South","Fourth Vegetative"
592,"Jim Home South","Sixth Vegetative"
593,"Jim North","Second Vegetative"
593,"Jim North","Fourth Vegetative"
593,"Jim North","Sixth Vegetative"
594,"Esther East","Second Vegetative"
594,"Esther East","Fourth Vegetative"
594,"Esther East","Sixth Vegetative"
595,"Jim Home North","Second Vegetative"
595,"Jim Home North","Fourth Vegetative"
595,"Jim Home North","Sixth Vegetative"
582,"Pitts 5","Second Vegetative"
582,"Pitts 5","Fourth Vegetative"
582,"Pitts 5","Sixth Vegetative"
583,"Pitts 5","Second Vegetative"
583,"Pitts 5","Fourth Vegetative"
583,"Pitts 5","Sixth Vegetative"
584,"Hoover/Wagner North","Second Vegetative"
584,"Hoover/Wagner North","Fourth Vegetative"
584,"Hoover/Wagner North","Sixth Vegetative"
585,"Peterson","First Vegetative"
585,"Peterson","Second Vegetative"
585,"Peterson","Third Vegetative"
585,"Peterson","Fourth Vegetative"
585,"Peterson","Fifth Vegetative"
585,"Peterson","Sixth Vegetative"
586,"Westcott/Rebuhn","First Vegetative"
586,"Westcott/Rebuhn","Second Vegetative"
586,"Westcott/Rebuhn","Third Vegetative"
586,"Westcott/Rebuhn","Fourth Vegetative"
586,"Westcott/Rebuhn","Fifth Vegetative"
586,"Westcott/Rebuhn","Sixth Vegetative"
587,"Lone Tree 9","Second Vegetative"
587,"Lone Tree 9","Fourth Vegetative"
587,"Lone Tree 9","Sixth Vegetative"
588,"Hartje NE","Second Vegetative"
588,"Hartje NE","Fourth Vegetative"
588,"Hartje NE","Sixth Vegetative"
589,"Hartje NW","Second Vegetative"
589,"Hartje NW","Fourth Vegetative"
589,"Hartje NW","Sixth Vegetative"
590,"Hartje West","Second Vegetative"
590,"Hartje West","Fourth Vegetative"
590,"Hartje West","Sixth Vegetative"
860,"Curt Hudson Farms - Oswalt","Second Vegetative"
860,"Curt Hudson Farms - Oswalt","Fourth Vegetative"
860,"Curt Hudson Farms - Oswalt","Sixth Vegetative"
876,"Faust Red Barn - South Field","Second Vegetative"
876,"Faust Red Barn - South Field","Fourth Vegetative"
876,"Faust Red Barn - South Field","Sixth Vegetative"
879,"Curt Hudson Farms - East Farm","Second Vegetative"
879,"Curt Hudson Farms - East Farm","Fourth Vegetative"
879,"Curt Hudson Farms - East Farm","Sixth Vegetative"
597,"W-150","Second Vegetative"
597,"W-150","Fourth Vegetative"
597,"W-150","Sixth Vegetative"
598,"Schmalz","Second Vegetative"
598,"Schmalz","Fourth Vegetative"
598,"Schmalz","Sixth Vegetative"
599,"Home","Second Vegetative"
599,"Home","Fourth Vegetative"
599,"Home","Sixth Vegetative"
600,"Block","Second Vegetative"
600,"Block","Fourth Vegetative"
600,"Block","Sixth Vegetative"
601,"Lowden","Second Vegetative"
601,"Lowden","Fourth Vegetative"
601,"Lowden","Sixth Vegetative"
602,"Banowetz South","Second Vegetative"
602,"Banowetz South","Fourth Vegetative"
602,"Banowetz South","Sixth Vegetative"
603,"Doyle","Second Vegetative"
603,"Doyle","Fourth Vegetative"
603,"Doyle","Sixth Vegetative"
604,"Home","Second Vegetative"
604,"Home","Fourth Vegetative"
604,"Home","Sixth Vegetative"
605,"Curtis","Second Vegetative"
605,"Curtis","Fourth Vegetative"
605,"Curtis","Sixth Vegetative"
606,"Home","Second Vegetative"
606,"Home","Fourth Vegetative"
606,"Home","Sixth Vegetative"
607,"Hofer","Second Vegetative"
607,"Hofer","Fourth Vegetative"
607,"Hofer","Sixth Vegetative"
608,"Home","Second Vegetative"
608,"Home","Fourth Vegetative"
608,"Home","Sixth Vegetative"
609,"Emery","Second Vegetative"
609,"Emery","Fourth Vegetative"
609,"Emery","Sixth Vegetative"
610,"Reeds","Second Vegetative"
610,"Reeds","Fourth Vegetative"
610,"Reeds","Sixth Vegetative"
611,"N-120","Second Vegetative"
611,"N-120","Fourth Vegetative"
611,"N-120","Sixth Vegetative"
612,"Home","Second Vegetative"
612,"Home","Fourth Vegetative"
612,"Home","Sixth Vegetative"
613,"Baustian","Second Vegetative"
613,"Baustian","Fourth Vegetative"
613,"Baustian","Sixth Vegetative"
614,"Kyle's","Second Vegetative"
614,"Kyle's","Fourth Vegetative"
614,"Kyle's","Sixth Vegetative"
615,"Home/Jansen","Second Vegetative"
615,"Home/Jansen","Fourth Vegetative"
615,"Home/Jansen","Sixth Vegetative"
616,"Wisconsin","Second Vegetative"
616,"Wisconsin","Fourth Vegetative"
616,"Wisconsin","Sixth Vegetative"
617,"Frye","Second Vegetative"
617,"Frye","Fourth Vegetative"
617,"Frye","Sixth Vegetative"
618,"Home","Second Vegetative"
618,"Home","Fourth Vegetative"
618,"Home","Sixth Vegetative"
619,"George's","Second Vegetative"
619,"George's","Fourth Vegetative"
619,"George's","Sixth Vegetative"
620,"N-80","Second Vegetative"
620,"N-80","Fourth Vegetative"
620,"N-80","Sixth Vegetative"
621,"Boehnke Split","Second Vegetative"
621,"Boehnke Split","Fourth Vegetative"
621,"Boehnke Split","Sixth Vegetative"
622,"Trail Farm","Second Vegetative"
622,"Trail Farm","Fourth Vegetative"
622,"Trail Farm","Sixth Vegetative"
623,"County Poor Farm","Second Vegetative"
623,"County Poor Farm","Fourth Vegetative"
623,"County Poor Farm","Sixth Vegetative"
624,"Peitzke Farm","Second Vegetative"
624,"Peitzke Farm","Fourth Vegetative"
624,"Peitzke Farm","Sixth Vegetative"
625,"Betty's","Second Vegetative"
625,"Betty's","Fourth Vegetative"
625,"Betty's","Sixth Vegetative"
626,"Home Farm Split","Second Vegetative"
626,"Home Farm Split","Fourth Vegetative"
626,"Home Farm Split","Sixth Vegetative"
627,"Grell Farm","Second Vegetative"
627,"Grell Farm","Fourth Vegetative"
627,"Grell Farm","Sixth Vegetative"
628,"Robert Grossman","Second Vegetative"
628,"Robert Grossman","Fourth Vegetative"
628,"Robert Grossman","Sixth Vegetative"
629,"Home W Farm","Second Vegetative"
629,"Home W Farm","Fourth Vegetative"
629,"Home W Farm","Sixth Vegetative"
630,"Arvids N 80","Second Vegetative"
630,"Arvids N 80","Fourth Vegetative"
630,"Arvids N 80","Sixth Vegetative"
631,"Stricker 80 Split","Second Vegetative"
631,"Stricker 80 Split","Fourth Vegetative"
631,"Stricker 80 Split","Sixth Vegetative"
632,"Larry Jr. Farm","Second Vegetative"
632,"Larry Jr. Farm","Fourth Vegetative"
632,"Larry Jr. Farm","Sixth Vegetative"
1009,"Larry Jr. beans 2015","Second Vegetative"
1009,"Larry Jr. beans 2015","Fourth Vegetative"
1009,"Larry Jr. beans 2015","Sixth Vegetative"
1010,"Larry Jr. corn 2015","Second Vegetative"
1010,"Larry Jr. corn 2015","Fourth Vegetative"
1010,"Larry Jr. corn 2015","Sixth Vegetative"
633,"Gordon","Second Vegetative"
633,"Gordon","Fourth Vegetative"
633,"Gordon","Sixth Vegetative"
634,"Home","Second Vegetative"
634,"Home","Fourth Vegetative"
634,"Home","Sixth Vegetative"
635,"Mike's","Second Vegetative"
635,"Mike's","Fourth Vegetative"
635,"Mike's","Sixth Vegetative"
636,"KTNW & KTNE","Second Vegetative"
636,"KTNW & KTNE","Fourth Vegetative"
636,"KTNW & KTNE","Sixth Vegetative"
993,"Packwood corn 2015","Second Vegetative"
993,"Packwood corn 2015","Fourth Vegetative"
993,"Packwood corn 2015","Sixth Vegetative"
994,"Packwood beans 2015","Second Vegetative"
994,"Packwood beans 2015","Fourth Vegetative"
994,"Packwood beans 2015","Sixth Vegetative"
638,"Mente","Second Vegetative"
638,"Mente","Fourth Vegetative"
638,"Mente","Sixth Vegetative"
640,"Joice","Second Vegetative"
640,"Joice","Fourth Vegetative"
640,"Joice","Sixth Vegetative"
641,"Bachus","Second Vegetative"
641,"Bachus","Fourth Vegetative"
641,"Bachus","Sixth Vegetative"
985,"Mud Creek beans 2015","Second Vegetative"
985,"Mud Creek beans 2015","Fourth Vegetative"
985,"Mud Creek beans 2015","Sixth Vegetative"
986,"Mudd Creek corn 2015","Second Vegetative"
986,"Mudd Creek corn 2015","Fourth Vegetative"
986,"Mudd Creek corn 2015","Sixth Vegetative"
989,"Stevenson beans 2015","Second Vegetative"
989,"Stevenson beans 2015","Fourth Vegetative"
989,"Stevenson beans 2015","Sixth Vegetative"
990,"Stevenson corn 2015","Second Vegetative"
990,"Stevenson corn 2015","Fourth Vegetative"
990,"Stevenson corn 2015","Sixth Vegetative"
987,"Tucker beans 2015","Second Vegetative"
987,"Tucker beans 2015","Fourth Vegetative"
987,"Tucker beans 2015","Sixth Vegetative"
988,"Tucker corn 2015","Second Vegetative"
988,"Tucker corn 2015","Fourth Vegetative"
988,"Tucker corn 2015","Sixth Vegetative"
645,"Blue Grass","Second Vegetative"
645,"Blue Grass","Fourth Vegetative"
645,"Blue Grass","Sixth Vegetative"
646,"Meyer","Second Vegetative"
646,"Meyer","Fourth Vegetative"
646,"Meyer","Sixth Vegetative"
647,"Walshire","Second Vegetative"
647,"Walshire","Fourth Vegetative"
647,"Walshire","Sixth Vegetative"
648,"Hoke","Second Vegetative"
648,"Hoke","Fourth Vegetative"
648,"Hoke","Sixth Vegetative"
649,"Wilkon","Second Vegetative"
649,"Wilkon","Fourth Vegetative"
649,"Wilkon","Sixth Vegetative"
650,"Elvira","Second Vegetative"
650,"Elvira","Fourth Vegetative"
650,"Elvira","Sixth Vegetative"
651,"Bishop","Second Vegetative"
651,"Bishop","Fourth Vegetative"
651,"Bishop","Sixth Vegetative"
652,"The 90","Second Vegetative"
652,"The 90","Fourth Vegetative"
652,"The 90","Sixth Vegetative"
653,"Irwin","Second Vegetative"
653,"Irwin","Fourth Vegetative"
653,"Irwin","Sixth Vegetative"
654,"Allen's","Second Vegetative"
654,"Allen's","Fourth Vegetative"
654,"Allen's","Sixth Vegetative"
655,"Home","Second Vegetative"
655,"Home","Fourth Vegetative"
655,"Home","Sixth Vegetative"
656,"Lee's South","Second Vegetative"
656,"Lee's South","Fourth Vegetative"
656,"Lee's South","Sixth Vegetative"
657,"Frank's","Second Vegetative"
657,"Frank's","Fourth Vegetative"
657,"Frank's","Sixth Vegetative"
658,"Leroy/Hamann","Second Vegetative"
658,"Leroy/Hamann","Fourth Vegetative"
658,"Leroy/Hamann","Sixth Vegetative"
661,"Don's","Second Vegetative"
661,"Don's","Fourth Vegetative"
661,"Don's","Sixth Vegetative"
662,"Irwins","Second Vegetative"
662,"Irwins","Fourth Vegetative"
662,"Irwins","Sixth Vegetative"
663,"Oaks","Second Vegetative"
663,"Oaks","Fourth Vegetative"
663,"Oaks","Sixth Vegetative"
664,"Graves","Second Vegetative"
664,"Graves","Fourth Vegetative"
664,"Graves","Sixth Vegetative"
666,"Swedsbung","Second Vegetative"
666,"Swedsbung","Fourth Vegetative"
666,"Swedsbung","Sixth Vegetative"
667,"Joe-40","Second Vegetative"
667,"Joe-40","Fourth Vegetative"
667,"Joe-40","Sixth Vegetative"
668,"Jansen","Second Vegetative"
668,"Jansen","Fourth Vegetative"
668,"Jansen","Sixth Vegetative"
669,"PH 2","Second Vegetative"
669,"PH 2","Fourth Vegetative"
669,"PH 2","Sixth Vegetative"
670,"PH3","Second Vegetative"
670,"PH3","Fourth Vegetative"
670,"PH3","Sixth Vegetative"
907,"South River Farms","Second Vegetative"
907,"South River Farms","Fourth Vegetative"
907,"South River Farms","Sixth Vegetative"
910,"Chris North 1/4","Second Vegetative"
910,"Chris North 1/4","Fourth Vegetative"
910,"Chris North 1/4","Sixth Vegetative"
914,"Olsens","Second Vegetative"
914,"Olsens","Fourth Vegetative"
914,"Olsens","Sixth Vegetative"
939,"Walfreds","Second Vegetative"
939,"Walfreds","Fourth Vegetative"
939,"Walfreds","Sixth Vegetative"
957,"Cosh North","Second Vegetative"
957,"Cosh North","Fourth Vegetative"
957,"Cosh North","Sixth Vegetative"
961,"Reuters Middle","Second Vegetative"
961,"Reuters Middle","Fourth Vegetative"
961,"Reuters Middle","Sixth Vegetative"
967,"Cosh South","Second Vegetative"
967,"Cosh South","Fourth Vegetative"
967,"Cosh South","Sixth Vegetative"
676,"Corn Field 1","Second Vegetative"
676,"Corn Field 1","Fourth Vegetative"
676,"Corn Field 1","Sixth Vegetative"
678,"Kreiger","Second Vegetative"
678,"Kreiger","Fourth Vegetative"
678,"Kreiger","Sixth Vegetative"
679,"Apple Field 1","Second Vegetative"
679,"Apple Field 1","Fourth Vegetative"
679,"Apple Field 1","Sixth Vegetative"
680,"Apple Field 2","Second Vegetative"
680,"Apple Field 2","Fourth Vegetative"
680,"Apple Field 2","Sixth Vegetative"
894,"Wheat Field 1","Second Vegetative"
894,"Wheat Field 1","Fourth Vegetative"
894,"Wheat Field 1","Sixth Vegetative"
895,"Wheat Farm 2","Second Vegetative"
895,"Wheat Farm 2","Fourth Vegetative"
895,"Wheat Farm 2","Sixth Vegetative"
904,"Test Field 3","Second Vegetative"
904,"Test Field 3","Fourth Vegetative"
904,"Test Field 3","Sixth Vegetative"
897,"Corn Field 1","Second Vegetative"
897,"Corn Field 1","Fourth Vegetative"
897,"Corn Field 1","Sixth Vegetative"
902,"Liza1","Second Vegetative"
902,"Liza1","Fourth Vegetative"
