"Field Name","fieldID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaging Event","Imaging Event Name","-1 Morning","-1 Midday","-1 Afternoon","0 Morning","0 Midday","0 Afternoon","1 Morning","1 Midday","1 Afternoon","2 Morning","2 Midday","2 Afternoon","3 Morning","3 Midday","3 Afternoon"
"S Hoopers 123","1013","2015-04-30","42","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"Morris East","1018","2015-05-01","41","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"DOR-1","1022","2015-05-01","41","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"Hall","1024","2015-05-01","41","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"Blue Grass","645","2015-04-22","50","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"Home","655","2015-04-26","46","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"Hoke","648","2015-04-20","52","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"Rock","1001","2015-04-23","49","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"Jansen","668","2015-04-16","56","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"Oaks","663","2015-04-29","44","15","2015-06-12","Second Vegetative","","","","","","","","","","","","","","",""
"Block","600","2015-04-30","43","15","2015-06-12","Second Vegetative","","","","","","","","","","","","","","",""
"Home","604","2015-04-29","44","15","2015-06-12","Second Vegetative","","","","","","","","","","","","","","",""
"Home","612","2015-04-30","43","15","2015-06-12","Second Vegetative","","","","","","","","","","","","","","",""
"Home/Jansen","615","2015-04-29","44","15","2015-06-12","Second Vegetative","","","","","","","","","","","","","","",""
"Home","618","2015-04-28","45","15","2015-06-12","Second Vegetative","","","","","","","","","","","","","","",""
"Gordon","633","2015-05-01","42","15","2015-06-12","Second Vegetative","","","","","","","","","","","","","","",""
"Swedsbung","666","2015-05-01","42","15","2015-06-12","Second Vegetative","","","","","","","","","","","","","","",""
"Lee","998","2015-04-23","50","15","2015-06-12","Second Vegetative","","","","","","","","","","","","","","",""
"Frye","617","2015-04-28","45","15","2015-06-12","Second Vegetative","","","","","","","","","","","","","","",""
"Allen's","654","2015-04-29","44","15","2015-06-12","Second Vegetative","","","","","","","","","","","","","","",""
"Lee's South","656","2015-04-29","44","15","2015-06-12","Second Vegetative","","","","","","","","","","","","","","",""
"Bachus","641","2015-04-29","45","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"Tucker corn 2015","988","2015-04-29","45","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"Meyer","646","2015-04-29","45","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"Schmalz","598","2015-04-30","44","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"N-80","620","2015-05-01","43","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"Elvira","650","2015-04-30","44","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"South Corn","580","2015-04-29","45","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"2131-BURBRINK","365","2015-05-02","42","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"2132-ROWLAND","491","2015-05-02","42","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"Wisconsin","616","2015-05-01","43","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"George's","619","2015-04-30","44","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"Irwins","662","2015-05-01","43","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"Emery","609","2015-04-30","44","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"Reeds","610","2015-04-30","44","16","2015-06-13","Second Vegetative","","","","","","","","","","","","","","",""
"Baustian","613","2015-05-01","44","17","2015-06-14","Second Vegetative","","","","","","","","","","","","","","",""
"Home","997","2015-05-01","44","17","2015-06-14","Second Vegetative","","","","","","","","","","","","","","",""
"Jason Spain","1000","2015-04-30","45","17","2015-06-14","Second Vegetative","","","","","","","","","","","","","","",""
"Dads","1002","2015-05-01","44","17","2015-06-14","Second Vegetative","","","","","","","","","","","","","","",""
"Home","1008","2015-05-02","43","17","2015-06-14","Second Vegetative","","","","","","","","","","","","","","",""
"KTNW & KTNE","636","2015-05-04","41","17","2015-06-14","Second Vegetative","","","","","","","","","","","","","","",""
"North Field","579","2015-04-30","45","17","2015-06-14","Second Vegetative","","","","","","","","","","","","","","",""
"Lowden","601","2015-05-01","44","17","2015-06-14","Second Vegetative","","","","","","","","","","","","","","",""
"2091-BAILEY","363","2015-05-03","42","17","2015-06-14","Second Vegetative","","","","","","","","","","","","","","",""
"Frank's","657","2015-05-01","44","17","2015-06-14","Second Vegetative","","","","","","","","","","","","","","",""
"Stevenson corn 2015","990","2015-05-02","43","17","2015-06-14","Second Vegetative","","","","","","","","","","","","","","",""
"Barber","1004","2015-05-02","43","17","2015-06-14","Second Vegetative","","","","","","","","","","","","","","",""
"Chubbies","996","2015-05-02","44","18","2015-06-15","Second Vegetative","","","","","","","","","","","","","","",""
"Pithan East","999","2015-05-01","45","18","2015-06-15","Second Vegetative","","","","","","","","","","","","","","",""
"Curtis","605","2015-05-03","43","18","2015-06-15","Second Vegetative","","","","","","","","","","","","","","",""
"Hofer","607","2015-05-04","42","18","2015-06-15","Second Vegetative","","","","","","","","","","","","","","",""
"Banowetz South","602","2015-05-01","45","18","2015-06-15","Second Vegetative","","","","","","","","","","","","","","",""
"Doyle","603","2015-05-01","45","18","2015-06-15","Second Vegetative","","","","","","","","","","","","","","",""
"Larry Jr. Farm","632","2015-04-30","46","18","2015-06-15","Second Vegetative","","","","","","","","","","","","","","",""
"W-150","597","2015-05-05","42","19","2015-06-16","Second Vegetative","","","","","","","","","","","","","","",""
"Joice","640","2015-05-04","43","19","2015-06-16","Second Vegetative","","","","","","","","","","","","","","",""
"Westcott/Rebuhn","586","2015-04-22","55","19","2015-06-16","Second Vegetative","","","","","","","","","","","","","","",""
"Betty's","625","2015-04-30","47","19","2015-06-16","Second Vegetative","","","","","","","","","","","","","","",""
"Robert Grossman","628","2015-04-30","47","19","2015-06-16","Second Vegetative","","","","","","","","","","","","","","",""
"Larry Jr. corn 2015","1010","2015-05-02","45","19","2015-06-16","Second Vegetative","","","","","","","","","","","","","","",""
"Humboldt Farm","354","2015-04-29","49","20","2015-06-17","Second Vegetative","","","","","","","","","","","","","","",""
"Hoover/Wagner North","584","2015-04-29","49","20","2015-06-17","Second Vegetative","","","","","","","","","","","","","","",""
"Peterson","585","2015-04-27","51","20","2015-06-17","Second Vegetative","","","","","","","","","","","","","","",""
"Boehnke Split","621","2015-04-28","50","20","2015-06-17","Second Vegetative","","","","","","","","","","","","","","",""
"Trail Farm","622","2015-04-28","50","20","2015-06-17","Second Vegetative","","","","","","","","","","","","","","",""
"Grell Farm","627","2015-04-28","50","20","2015-06-17","Second Vegetative","","","","","","","","","","","","","","",""
"Lone Tree 9","587","2015-04-21","57","20","2015-06-17","Second Vegetative","","","","","","","","","","","","","","",""
"PH3","670","2015-04-30","49","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Home Place","338","2015-05-02","47","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"The 80","339","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Oyers","340","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Kennings","341","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Gary's","342","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Jones","343","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Eigsti's","345","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Michelle's","346","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Topliff Farm","347","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"North of Dredge","348","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"South of Dredge","349","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Bowen's","350","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Sally's","351","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Bill's Home","352","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Horace's","353","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Home W Farm","629","2015-04-30","49","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Arvids N 80","630","2015-05-01","48","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Stricker 80 Split","631","2015-04-30","49","21","2015-06-18","Second Vegetative","","","","","","","","","","","","","","",""
"Kings","344","2015-05-03","47","22","2015-06-19","Second Vegetative","","","","","","","","","","","","","","",""
"Pitts 5","582","2015-05-02","48","22","2015-06-19","Second Vegetative","","","","","","","","","","","","","","",""
"Pitts 5","583","2015-05-02","48","22","2015-06-19","Second Vegetative","","","","","","","","","","","","","","",""
"Hartje NE","588","2015-05-02","48","22","2015-06-19","Second Vegetative","","","","","","","","","","","","","","",""
"Hartje NW","589","2015-05-02","48","22","2015-06-19","Second Vegetative","","","","","","","","","","","","","","",""
"Hartje West","590","2015-05-02","48","22","2015-06-19","Second Vegetative","","","","","","","","","","","","","","",""
"Peitzke Farm","624","2015-05-02","48","22","2015-06-19","Second Vegetative","","","","","","","","","","","","","","",""
"Home Farm Split","626","2015-05-01","49","22","2015-06-19","Second Vegetative","","","","","","","","","","","","","","",""
"Curt Hudson Farms - East Farm","879","2015-05-14","36","22","2015-06-19","Second Vegetative","","","","","","","","","","","","","","",""
"Dad's","1006","2015-05-12","39","23","2015-06-20","Second Vegetative","","","","","","","","","","","","","","",""
"Packwood corn 2015","993","2015-05-13","38","23","2015-06-20","Second Vegetative","","","","","","","","","","","","","","",""
"Carl McKinney","1629","2015-05-19","32","23","2015-06-20","Second Vegetative","","","","","","","","","","","","","","",""
"Mente","638","2015-05-10","41","23","2015-06-20","Second Vegetative","","","","","","","","","","","","","","",""
"Hazen","1005","2015-05-12","39","23","2015-06-20","Second Vegetative","","","","","","","","","","","","","","",""
"Tucker beans 2015","987","2015-05-13","39","24","2015-06-21","Second Vegetative","","","","","","","","","","","","","","",""
"County Home","1003","2015-05-15","37","24","2015-06-21","Second Vegetative","","","","","","","","","","","","","","",""
"Homer","1628","2015-05-20","32","24","2015-06-21","Second Vegetative","","","","","","","","","","","","","","",""
"SW8","1635","2015-05-20","32","24","2015-06-21","Second Vegetative","","","","","","","","","","","","","","",""
"Precision Ag - Innovation","320","2015-04-23","59","24","2015-06-21","Second Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW3","323","2015-04-24","58","24","2015-06-21","Second Vegetative","","","","","","","","","","","","","","",""
"Agronomy SW4N","573","2015-04-24","58","24","2015-06-21","Second Vegetative","","","","","","","","","","","","","","",""
"Agronomy - NE7","578","2015-04-25","57","24","2015-06-21","Second Vegetative","","","","","","","","","","","","","","",""
"Mud Creek beans 2015","985","2015-05-15","37","24","2015-06-21","Second Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW1","322","2015-04-25","58","25","2015-06-22","Second Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW5","576","2015-04-27","56","25","2015-06-22","Second Vegetative","","","","","","","","","","","","","","",""
"Across from Bins","569","2015-05-04","49","25","2015-06-22","Second Vegetative","","","","","","","","","","","","","","",""
"Across Road from Bins","570","2015-05-04","49","25","2015-06-22","Second Vegetative","","","","","","","","","","","","","","",""
"County Poor Farm","623","2015-05-08","45","25","2015-06-22","Second Vegetative","","","","","","","","","","","","","","",""
"South River Farms","907","2015-04-30","54","26","2015-06-23","Second Vegetative","","","","","","","","","","","","","","",""
"Chris North 1/4","910","2015-04-30","54","26","2015-06-23","Second Vegetative","","","","","","","","","","","","","","",""
"Walfreds","939","2015-04-30","54","26","2015-06-23","Second Vegetative","","","","","","","","","","","","","","",""
"Cosh North","957","2015-04-30","54","26","2015-06-23","Second Vegetative","","","","","","","","","","","","","","",""
"Reuters Middle","961","2015-04-30","54","26","2015-06-23","Second Vegetative","","","","","","","","","","","","","","",""
"Cosh South","967","2015-04-30","54","26","2015-06-23","Second Vegetative","","","","","","","","","","","","","","",""
"PH 2","669","2015-05-10","44","26","2015-06-23","Second Vegetative","","","","","","","","","","","","","","",""
"Packwood beans 2015","994","2015-05-19","35","26","2015-06-23","Second Vegetative","","","","","","","","","","","","","","",""
"Faust Red Barn - South Field","876","2015-05-20","34","26","2015-06-23","Second Vegetative","","","","","","","","","","","","","","",""
"Stevenson beans 2015","989","2015-05-22","33","27","2015-06-24","Second Vegetative","","","","","","","","","","","","","","",""
"Wilkon","649","2015-05-19","36","27","2015-06-24","Second Vegetative","","","","","","","","","","","","","","",""
"Bee-Hive","554","2015-04-28","57","27","2015-06-24","Second Vegetative","","","","","","","","","","","","","","",""
"Olsens","914","2015-05-02","54","28","2015-06-25","Second Vegetative","","","","","","","","","","","","","","",""
"Home","606","2015-05-20","36","28","2015-06-25","Second Vegetative","","","","","","","","","","","","","","",""
"40","995","2015-05-19","37","28","2015-06-25","Second Vegetative","","","","","","","","","","","","","","",""
"Walshire","647","2015-05-20","36","28","2015-06-25","Second Vegetative","","","","","","","","","","","","","","",""
"Larry Jr. beans 2015","1009","2015-05-18","38","28","2015-06-25","Second Vegetative","","","","","","","","","","","","","","",""
"Edgeley Pivots","531","2015-04-28","58","28","2015-06-25","Second Vegetative","","","","","","","","","","","","","","",""
"Carrington Pivots 2","552","2015-04-28","59","29","2015-06-26","Second Vegetative","","","","","","","","","","","","","","",""
"Carrington Pivots 1","568","2015-04-28","59","29","2015-06-26","Second Vegetative","","","","","","","","","","","","","","",""
"Carrington Pivots 4","542","2015-04-28","60","30","2015-06-27","Second Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW4","321","2015-05-08","51","31","2015-06-28","Second Vegetative","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Peterson","585","2015-04-27","64","33","2015-06-30","Third Vegetative","","","","","","","","","","","","","","",""
"Westcott/Rebuhn","586","2015-04-22","69","33","2015-06-30","Third Vegetative","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"NE 15-27-24 #9","1627","2015-04-20","68","30","2015-06-27","Fourth Vegetative","","","","","","","","","","","","","","",""
"E 14-27-24 #11","1626","2015-04-22","67","31","2015-06-28","Fourth Vegetative","","","","","","","","","","","","","","",""
"Sittie","1632","2015-04-21","68","31","2015-06-28","Fourth Vegetative","","","","","","","","","","","","","","",""
"Martin #4","1637","2015-04-22","67","31","2015-06-28","Fourth Vegetative","","","","","","","","","","","","","","",""
"#2G","1639","2015-04-21","68","31","2015-06-28","Fourth Vegetative","","","","","","","","","","","","","","",""
"#1","1645","2015-04-25","64","31","2015-06-28","Fourth Vegetative","","","","","","","","","","","","","","",""
"Margeret #3","1636","2015-04-23","67","32","2015-06-29","Fourth Vegetative","","","","","","","","","","","","","","",""
"#19B","1638","2015-04-25","65","32","2015-06-29","Fourth Vegetative","","","","","","","","","","","","","","",""
"#21","1642","2015-04-29","61","32","2015-06-29","Fourth Vegetative","","","","","","","","","","","","","","",""
"#21","1643","2015-04-29","61","32","2015-06-29","Fourth Vegetative","","","","","","","","","","","","","","",""
"#21","1644","2015-04-29","61","32","2015-06-29","Fourth Vegetative","","","","","","","","","","","","","","",""
"Home","599","2015-04-11","80","33","2015-06-30","Fourth Vegetative","","","","","","","","","","","","","","",""
"Mike's","635","2015-04-17","74","33","2015-06-30","Fourth Vegetative","","","","","","","","","","","","","","",""
"Joe-40","667","2015-04-15","76","33","2015-06-30","Fourth Vegetative","","","","","","","","","","","","","","",""
"S. Doran","1634","2015-04-30","61","33","2015-06-30","Fourth Vegetative","","","","","","","","","","","","","","",""
"#11","1646","2015-04-30","61","33","2015-06-30","Fourth Vegetative","","","","","","","","","","","","","","",""
"K-State West","331","2015-04-22","69","33","2015-06-30","Fourth Vegetative","","","","","","","","","","","","","","",""
"Jim Home North","591","2015-04-22","69","33","2015-06-30","Fourth Vegetative","","","","","","","","","","","","","","",""
"Jim Home South","592","2015-04-22","69","33","2015-06-30","Fourth Vegetative","","","","","","","","","","","","","","",""
"Jim North","593","2015-04-22","69","33","2015-06-30","Fourth Vegetative","","","","","","","","","","","","","","",""
"Jim Home North","595","2015-04-22","69","33","2015-06-30","Fourth Vegetative","","","","","","","","","","","","","","",""
"N. Doran","1633","2015-05-01","61","34","2015-07-01","Fourth Vegetative","","","","","","","","","","","","","","",""
"Patterson Ranch- South Bottom","336","2015-04-22","70","34","2015-07-01","Fourth Vegetative","","","","","","","","","","","","","","",""
"HQ - NE","1011","2015-04-24","68","34","2015-07-01","Fourth Vegetative","","","","","","","","","","","","","","",""
"Farmers Drive","1023","2015-04-25","67","34","2015-07-01","Fourth Vegetative","","","","","","","","","","","","","","",""
"Esther East","594","2015-04-23","69","34","2015-07-01","Fourth Vegetative","","","","","","","","","","","","","","",""
"Don's","661","2015-04-15","78","35","2015-07-02","Fourth Vegetative","","","","","","","","","","","","","","",""
"Houston","1631","2015-05-02","61","35","2015-07-02","Fourth Vegetative","","","","","","","","","","","","","","",""
"#7","1641","2015-05-04","59","35","2015-07-02","Fourth Vegetative","","","","","","","","","","","","","","",""
"S Bottom 158","1014","2015-04-28","65","35","2015-07-02","Fourth Vegetative","","","","","","","","","","","","","","",""
"Hibbard North","1015","2015-04-28","65","35","2015-07-02","Fourth Vegetative","","","","","","","","","","","","","","",""
"SAX-2010","1016","2015-04-29","64","35","2015-07-02","Fourth Vegetative","","","","","","","","","","","","","","",""
"Barrett 40","1021","2015-04-27","66","35","2015-07-02","Fourth Vegetative","","","","","","","","","","","","","","",""
"Mudd Creek corn 2015","986","2015-04-16","77","35","2015-07-02","Fourth Vegetative","","","","","","","","","","","","","","",""
"Bishop","651","2015-04-17","77","36","2015-07-03","Fourth Vegetative","","","","","","","","","","","","","","",""
"Irwin","653","2015-04-17","77","36","2015-07-03","Fourth Vegetative","","","","","","","","","","","","","","",""
"Erling","1007","2015-04-17","77","36","2015-07-03","Fourth Vegetative","","","","","","","","","","","","","","",""
"Kreiger","678","2015-04-30","64","36","2015-07-03","Fourth Vegetative","","","","","","","","","","","","","","",""
"Tom Wilson","1630","2015-05-03","61","36","2015-07-03","Fourth Vegetative","","","","","","","","","","","","","","",""
"E Hammonds 92","1012","2015-04-30","64","36","2015-07-03","Fourth Vegetative","","","","","","","","","","","","","","",""
"S Hoopers 123","1013","2015-04-30","64","36","2015-07-03","Fourth Vegetative","","","","","","","","","","","","","","",""
"Morris East","1018","2015-05-01","63","36","2015-07-03","Fourth Vegetative","","","","","","","","","","","","","","",""
"DOR-1","1022","2015-05-01","63","36","2015-07-03","Fourth Vegetative","","","","","","","","","","","","","","",""
"Hall","1024","2015-05-01","63","36","2015-07-03","Fourth Vegetative","","","","","","","","","","","","","","",""
"The 90","652","2015-04-14","80","36","2015-07-03","Fourth Vegetative","","","","","","","","","","","","","","",""
"Graves","664","2015-04-20","75","37","2015-07-04","Fourth Vegetative","","","","","","","","","","","","","","",""
"Kyle's","614","2015-04-27","68","37","2015-07-04","Fourth Vegetative","","","","","","","","","","","","","","",""
"Home","634","2015-04-29","66","37","2015-07-04","Fourth Vegetative","","","","","","","","","","","","","","",""
"2092-BAILEY WEST","388","2015-04-17","78","37","2015-07-04","Fourth Vegetative","","","","","","","","","","","","","","",""
"3208-STOOKEY","395","2015-04-17","78","37","2015-07-04","Fourth Vegetative","","","","","","","","","","","","","","",""
"3250-BAILEY HOME","396","2015-04-17","78","37","2015-07-04","Fourth Vegetative","","","","","","","","","","","","","","",""
"3249-POLK WEBSTER","479","2015-04-17","78","37","2015-07-04","Fourth Vegetative","","","","","","","","","","","","","","",""
"Leroy/Hamann","658","2015-04-17","78","37","2015-07-04","Fourth Vegetative","","","","","","","","","","","","","","",""
"Home","608","2015-04-27","69","38","2015-07-05","Fourth Vegetative","","","","","","","","","","","","","","",""
"N-120","611","2015-04-28","68","38","2015-07-05","Fourth Vegetative","","","","","","","","","","","","","","",""
"3218-BAUM","438","2015-04-18","78","38","2015-07-05","Fourth Vegetative","","","","","","","","","","","","","","",""
"Blue Grass","645","2015-04-22","74","38","2015-07-05","Fourth Vegetative","","","","","","","","","","","","","","",""
"Oaks","663","2015-04-29","68","39","2015-07-06","Fourth Vegetative","","","","","","","","","","","","","","",""
"Schmalz","598","2015-04-30","67","39","2015-07-06","Fourth Vegetative","","","","","","","","","","","","","","",""
"Block","600","2015-04-30","67","39","2015-07-06","Fourth Vegetative","","","","","","","","","","","","","","",""
"Home","604","2015-04-29","68","39","2015-07-06","Fourth Vegetative","","","","","","","","","","","","","","",""
"Home","612","2015-04-30","67","39","2015-07-06","Fourth Vegetative","","","","","","","","","","","","","","",""
"Gordon","633","2015-05-01","66","39","2015-07-06","Fourth Vegetative","","","","","","","","","","","","","","",""
"Swedsbung","666","2015-05-01","66","39","2015-07-06","Fourth Vegetative","","","","","","","","","","","","","","",""
"South Corn","580","2015-04-29","68","39","2015-07-06","Fourth Vegetative","","","","","","","","","","","","","","",""
"Lee","998","2015-04-23","74","39","2015-07-06","Fourth Vegetative","","","","","","","","","","","","","","",""
"Allen's","654","2015-04-29","68","39","2015-07-06","Fourth Vegetative","","","","","","","","","","","","","","",""
