"Field Name","fieldID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaging Event","Imaging Event Name","-1 Morning","-1 Midday","-1 Afternoon","0 Morning","0 Midday","0 Afternoon","1 Morning","1 Midday","1 Afternoon","2 Morning","2 Midday","2 Afternoon","3 Morning","3 Midday","3 Afternoon"
"SiouxCenter-IA","233","2015-04-17","38","0","2015-05-25","Stand Count","","","","","","","","","","","","","","",""
"Farmersburg-IN","296","2015-05-07","19","1","2015-05-26","Stand Count",NA,"91","84","93","91","86","74","73","72","56","60","58","66","60","59"
"Pella-IA","278","2015-04-30","26","1","2015-05-26","Stand Count","63","50","53","76","70","67","34","27","20","50","67","68",NA,NA,NA
"Holdrege-NE","219","2015-04-28","30","3","2015-05-28","Stand Count","35","38","47","71","58","62","82","86","87","80","66","64","51","53","46"
"Albion","253","2015-04-27","31","3","2015-05-28","Stand Count","27","32","41","76","72","66","83","85","86","74","66","61","51","50","45"
"Worthington-MN","230","2015-04-23","36","4","2015-05-29","Stand Count","","","","","","","","","","","","","","",""
"Aurora","256","2015-05-01","28","4","2015-05-29","Stand Count","79","75","70","80","83","86","83","69","66","53","50","45","40",NA,NA
"NorthBend","258","2015-04-30","29","4","2015-05-29","Stand Count","75","75","71","84","89","92","79","75","71","56","51","46","46",NA,NA
"Arcadia-IA","274","2015-04-29","30","4","2015-05-29","Stand Count","62","71","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Janesville-WI","223","2015-04-29","31","5","2015-05-30","Stand Count","","","","","","","","","","","","","","",""
"Mitchell-SD","232","2015-05-01","29","5","2015-05-30","Stand Count","","","","","","","","","","","","","","",""
"Wakefield","249","2015-04-29","31","5","2015-05-30","Stand Count","","","","","","","","","","","","","","",""
"Platteville-WI","224","2015-04-30","30","5","2015-05-30","Stand Count","","","","","","","","","","","","","","",""
"Elgin-MN","261","2015-04-17","45","7","2015-06-01","Stand Count","","","","","","","","","","","","","","",""
"Vincent-IA","234","2015-05-01","32","8","2015-06-02","Stand Count","","","","","","","","","","","","","","",""
"Plainview","259","2015-04-29","34","8","2015-06-02","Stand Count","","","","","","","","","","","","","","",""
"Sanborn-MN","262","2015-04-27","36","8","2015-06-02","Stand Count","","","","","","","","","","","","","","",""
"Hayfield-MN","265","2015-04-28","36","9","2015-06-03","Stand Count","","","","","","","","","","","","","","",""
"Truman-MN","268","2015-04-28","36","9","2015-06-03","Stand Count","","","","","","","","","","","","","","",""
"Henderson-MN","263","2015-04-23","42","10","2015-06-04","Stand Count","","","","","","","","","","","","","","",""
"Danube-MN","264","2015-04-29","36","10","2015-06-04","Stand Count","","","","","","","","","","","","","","",""
"North Platte-NE","220","2015-05-01","34","10","2015-06-04","Stand Count","","","","","","","","","","","","","","",""
"Creston-IA","279","2015-05-08","28","11","2015-06-05","Stand Count","","","","","","","","","","","","","","",""
"Osco-IL","288","2015-05-12","24","11","2015-06-05","Stand Count","","","","","","","","","","","","","","",""
"Santiago-MN","270","2015-04-30","37","12","2015-06-06","Stand Count","","","","","","","","","","","","","","",""
"Pierre-SD","317","2015-04-29","38","12","2015-06-06","Stand Count","","","","","","","","","","","","","","",""
"BrownsValley-MN","244","2015-04-28","39","12","2015-06-06","Stand Count","","","","","","","","","","","","","","",""
"BeaverDam-WI","225","2015-05-08","30","13","2015-06-07","Stand Count","","","","","","","","","","","","","","",""
"FergusFalls-MN","247","2015-04-29","39","13","2015-06-07","Stand Count","","","","","","","","","","","","","","",""
"Faulkton-SD","312","2015-04-30","38","13","2015-06-07","Stand Count","","","","","","","","","","","","","","",""
"Pocahontas-IA","237","2015-05-08","30","13","2015-06-07","Stand Count","","","","","","","","","","","","","","",""
"Menomonie-WI","221","2015-05-05","34","14","2015-06-08","Stand Count","","","","","","","","","","","","","","",""
"Manchester-IA","280","2015-05-13","26","14","2015-06-08","Stand Count","","","","","","","","","","","","","","",""
"Britt-IA","236","2015-05-09","30","14","2015-06-08","Stand Count","","","","","","","","","","","","","","",""
"Westport-MN","260","2015-05-01","38","14","2015-06-08","Stand Count","","","","","","","","","","","","","","",""
"Almena-WI","222","2015-05-05","35","15","2015-06-09","Stand Count","","","","","","","","","","","","","","",""
"CharlesCity-IA","275","2015-05-12","28","15","2015-06-09","Stand Count","","","","","","","","","","","","","","",""
"Lafayette-IN","301","2015-05-18","22","15","2015-06-09","Stand Count","","","","","","","","","","","","","","",""
"Holloway-MN","269","2015-05-05","35","15","2015-06-09","Stand Count","","","","","","","","","","","","","","",""
"Ulen-MN","245","2015-04-30","40","15","2015-06-09","Stand Count","","","","","","","","","","","","","","",""
"Strasburg-ND","315","2015-05-01","40","16","2015-06-10","Stand Count","","","","","","","","","","","","","","",""
"Belgrade-MN","267","2015-05-04","37","16","2015-06-10","Stand Count","","","","","","","","","","","","","","",""
"TroyGrove-IL","291","2015-05-19","23","17","2015-06-11","Stand Count","","","","","","","","","","","","","","",""
"Ainsworth-NE","257","2015-05-14","29","18","2015-06-12","Stand Count","","","","","","","","","","","","","","",""
"Watertown-SD","231","2015-05-05","38","18","2015-06-12","Stand Count","","","","","","","","","","","","","","",""
"DeKalb-IL","292","2015-05-19","24","18","2015-06-12","Stand Count","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Field 1 ","326","2015-04-01","45","-9","2015-05-16","First Vegetative","","","","","","","","","","","","","","",""
"Joe-40","667","2015-04-15","32","-8","2015-05-17","First Vegetative","","","","","","","","","","","","","","",""
"Home","599","2015-04-11","36","-8","2015-05-17","First Vegetative","","","","","","","","","","","","","","",""
"Mike's","635","2015-04-17","31","-7","2015-05-18","First Vegetative","","","","","","","","","","","","","","",""
"Sittie","1632","2015-04-21","28","-6","2015-05-19","First Vegetative","","","","","","","","","","","","","","",""
"Don's","661","2015-04-15","34","-6","2015-05-19","First Vegetative","","","","","","","","","","","","","","",""
"NE 15-27-24 #9","1627","2015-04-20","31","-4","2015-05-21","First Vegetative","","","","","","","","","","","","","","",""
"Erling","1007","2015-04-17","35","-3","2015-05-22","First Vegetative","","","","","","","","","","","","","","",""
"The 90","652","2015-04-14","38","-3","2015-05-22","First Vegetative","","","","","","","","","","","","","","",""
"Mudd Creek corn 2015","986","2015-04-16","36","-3","2015-05-22","First Vegetative","","","","","","","","","","","","","","",""
"#1","1645","2015-04-25","28","-2","2015-05-23","First Vegetative","","","","","","","","","","","","","","",""
"Bishop","651","2015-04-17","36","-2","2015-05-23","First Vegetative","","","","","","","","","","","","","","",""
"Irwin","653","2015-04-17","36","-2","2015-05-23","First Vegetative","","","","","","","","","","","","","","",""
"Leroy/Hamann","658","2015-04-17","36","-2","2015-05-23","First Vegetative","","","","","","","","","","","","","","",""
"E 14-27-24 #11","1626","2015-04-22","31","-2","2015-05-23","First Vegetative","","","","","","","","","","","","","","",""
"#2G","1639","2015-04-21","32","-2","2015-05-23","First Vegetative","","","","","","","","","","","","","","",""
"2092-BAILEY WEST","388","2015-04-17","36","-2","2015-05-23","First Vegetative","","","","","","","","","","","","","","",""
"3208-STOOKEY","395","2015-04-17","36","-2","2015-05-23","First Vegetative","","","","","","","","","","","","","","",""
"3250-BAILEY HOME","396","2015-04-17","36","-2","2015-05-23","First Vegetative","","","","","","","","","","","","","","",""
"3249-POLK WEBSTER","479","2015-04-17","36","-2","2015-05-23","First Vegetative","","","","","","","","","","","","","","",""
"Jim Home North","591","2015-04-22","32","-1","2015-05-24","First Vegetative","","","","","","","","","","","","","","",""
"Jim Home South","592","2015-04-22","32","-1","2015-05-24","First Vegetative","","","","","","","","","","","","","","",""
"Jim Home North","595","2015-04-22","32","-1","2015-05-24","First Vegetative","","","","","","","","","","","","","","",""
"#19B","1638","2015-04-25","29","-1","2015-05-24","First Vegetative","","","","","","","","","","","","","","",""
"Drew House","334","2015-05-03","21","-1","2015-05-24","First Vegetative","","","","","","","","","","","","","","",""
"K-State West","331","2015-04-22","32","-1","2015-05-24","First Vegetative","","","","","","","","","","","","","","",""
"K State West","333","2015-04-22","32","-1","2015-05-24","First Vegetative","","","","","","","","","","","","","","",""
"Patterson Ranch- South Bottom","336","2015-04-22","32","-1","2015-05-24","First Vegetative","","","","","","","","","","","","","","",""
"Jim North","593","2015-04-22","32","-1","2015-05-24","First Vegetative","","","","","","","","","","","","","","",""
"Esther East","594","2015-04-23","31","-1","2015-05-24","First Vegetative","","","","","","","","","","","","","","",""
"HQ - NE","1011","2015-04-24","31","0","2015-05-25","First Vegetative",NA,NA,NA,"61","57","69","55","40","47","35","26","30","70","68","67"
"Farmers Drive","1023","2015-04-25","30","0","2015-05-25","First Vegetative",NA,NA,NA,"61","58","69","56","40","49","35","26","30","70","70","68"
"#21","1642","2015-04-29","26","0","2015-05-25","First Vegetative",NA,NA,NA,"59","36","37","53","41","43","35","38","47","73","68","66"
"#21","1643","2015-04-29","26","0","2015-05-25","First Vegetative",NA,NA,NA,"59","36","37","53","41","43","35","38","47","73","68","66"
"#21","1644","2015-04-29","26","0","2015-05-25","First Vegetative",NA,NA,NA,"59","36","37","53","41","43","35","38","47","73","68","66"
"Jansen","668","2015-04-16","39","0","2015-05-25","First Vegetative",NA,NA,NA,"74","63","64","81","83","80","35","23","20","41","50","61"
"Graves","664","2015-04-20","35","0","2015-05-25","First Vegetative",NA,NA,NA,"70","50","43","79","75","74","53","40","34","25","39","47"
"3218-BAUM","438","2015-04-18","37","0","2015-05-25","First Vegetative",NA,NA,NA,"86","75","54","80","91","92","67","63","62","41","41","38"
"Kyle's","614","2015-04-27","28","0","2015-05-25","First Vegetative",NA,NA,NA,"71","50","42","79","75","75","56","43","37","23","34","40"
"Blue Grass","645","2015-04-22","33","0","2015-05-25","First Vegetative",NA,NA,NA,"68","49","42","79","75","74","55","42","36","24","36","43"
"Barrett 40","1021","2015-04-27","29","1","2015-05-26","First Vegetative","62","57","69","62","47","53","33","25","29","69","67","68","79","84","87"
"Home","655","2015-04-26","30","1","2015-05-26","First Vegetative","71","50","43","79","75","75","54","41","35","24","38","45","69","77","81"
"#11","1646","2015-04-30","26","1","2015-05-26","First Vegetative","62","42","42","53","41","43","35","39","47","71","67","65","83","81","82"
"Home","608","2015-04-27","29","1","2015-05-26","First Vegetative","71","50","42","79","75","75","57","44","38","22","34","40","69","76","80"
"Corn Field 1","676","2015-04-01","55","1","2015-05-26","First Vegetative","99","98","93","91","92","93","40","32","31","40","50","58","88","83","73"
"Corn Field 1","897","2015-04-01","55","1","2015-05-26","First Vegetative","99","98","93","91","92","93","40","32","31","40","50","58","88","83","73"
"Rock","1001","2015-04-23","33","1","2015-05-26","First Vegetative","76","54","44","79","76","76","56","43","37","23","33","38","72","78","82"
"S. Doran","1634","2015-04-30","26","1","2015-05-26","First Vegetative","63","43","42","53","41","43","35","40","46","68","67","64","83","82","83"
"S Bottom 158","1014","2015-04-28","28","1","2015-05-26","First Vegetative","61","56","70","57","40","47","36","27","30","69","68","67","81","85","88"
"Hibbard North","1015","2015-04-28","28","1","2015-05-26","First Vegetative","61","57","71","54","40","47","36","28","30","69","68","66","81","86","89"
"N-120","611","2015-04-28","28","1","2015-05-26","First Vegetative","74","51","43","79","76","75","56","43","37","23","34","40","70","77","81"
"Hoke","648","2015-04-20","36","1","2015-05-26","First Vegetative","75","58","50","78","75","75","51","39","33","26","39","46","75","77","79"
"Kreiger","678","2015-04-30","26","1","2015-05-26","First Vegetative","68","48","42","78","74","72","51","38","32","34","46","52","69","73","76"
"Home","634","2015-04-29","28","2","2015-05-27","First Vegetative","79","74","72","51","38","32","36","46","51","68","72","75","95","93","92"
"SAX-2010","1016","2015-04-29","28","2","2015-05-27","First Vegetative","57","40","47","35","26","29","69","67","67","80","84","87","87","88","85"
"Lee","998","2015-04-23","34","2","2015-05-27","First Vegetative","79","76","76","55","42","36","24","34","40","72","78","82","95","93","92"
"E Hammonds 92","1012","2015-04-30","28","3","2015-05-28","First Vegetative","30","24","29","69","67","67","79","84","87","87","88","85","76","73","67"
"S Hoopers 123","1013","2015-04-30","28","3","2015-05-28","First Vegetative","31","25","30","69","67","67","79","84","87","87","88","85","76","73","67"
"Allen's","654","2015-04-29","29","3","2015-05-28","First Vegetative","54","41","35","24","38","45","69","77","81","96","94","93","65","61","60"
"Home","604","2015-04-29","29","3","2015-05-28","First Vegetative","56","43","37","23","33","39","71","77","81","96","93","92","64","60","59"
"Frye","617","2015-04-28","30","3","2015-05-28","First Vegetative","55","42","36","24","35","41","70","77","81","96","94","93","65","61","60"
"Oaks","663","2015-04-29","29","3","2015-05-28","First Vegetative","54","40","34","25","39","46","68","76","81","96","94","93","64","60","59"
"N. Doran","1633","2015-05-01","27","3","2015-05-28","First Vegetative","35","40","46","68","67","64","82","82","83","86","83","77","71","68","62"
"Block","600","2015-04-30","28","3","2015-05-28","First Vegetative","56","43","37","23","34","40","70","77","81","96","94","93","65","61","59"
"Home","612","2015-04-30","28","3","2015-05-28","First Vegetative","56","43","37","23","33","39","70","77","81","96","94","93","65","61","60"
"Home","618","2015-04-28","30","3","2015-05-28","First Vegetative","55","43","37","24","34","40","70","77","81","96","94","93","65","61","60"
"DOR-1","1022","2015-05-01","28","4","2015-05-29","First Vegetative","69","67","68","80","84","87","87","88","85","77","74","68","55",NA,NA
"Hall","1024","2015-05-01","28","4","2015-05-29","First Vegetative","69","67","67","78","84","87","88","87","85","75","72","65","53",NA,NA
"Home/Jansen","615","2015-04-29","30","4","2015-05-29","First Vegetative","23","34","40","70","77","81","96","94","93","64","60","59","57",NA,NA
"Lee's South","656","2015-04-29","30","4","2015-05-29","First Vegetative","24","35","41","70","77","81","96","93","92","64","60","59","57",NA,NA
"Schmalz","598","2015-04-30","29","4","2015-05-29","First Vegetative","22","32","38","69","77","81","96","94","93","65","61","60","58",NA,NA
"Emery","609","2015-04-30","29","4","2015-05-29","First Vegetative","23","34","40","71","78","82","96","93","92","64","60","59","57",NA,NA
"Reeds","610","2015-04-30","29","4","2015-05-29","First Vegetative","23","34","40","71","78","82","95","93","92","64","60","59","57",NA,NA
"N-80","620","2015-05-01","28","4","2015-05-29","First Vegetative","23","34","40","70","77","81","96","94","93","65","61","59","57",NA,NA
"George's","619","2015-04-30","29","4","2015-05-29","First Vegetative","24","36","42","71","78","82","96","93","92","64","60","59","57",NA,NA
"Gordon","633","2015-05-01","28","4","2015-05-29","First Vegetative","34","46","52","70","74","76","94","92","92","78","74","73","56",NA,NA
"Swedsbung","666","2015-05-01","28","4","2015-05-29","First Vegetative","33","45","52","70","74","76","95","93","92","76","73","72","56",NA,NA
"Westcott/Rebuhn","586","2015-04-22","37","4","2015-05-29","First Vegetative","","","","","","","","","","","","","","",""
"Bachus","641","2015-04-29","30","4","2015-05-29","First Vegetative","24","36","42","72","78","81","95","93","92","63","59","58","57",NA,NA
"Meyer","646","2015-04-29","30","4","2015-05-29","First Vegetative","24","36","43","72","78","81","96","93","92","63","59","58","57",NA,NA
"Tucker corn 2015","988","2015-04-29","30","4","2015-05-29","First Vegetative","24","36","43","72","78","81","96","93","92","63","59","58","57",NA,NA
"2131-BURBRINK","365","2015-05-02","27","4","2015-05-29","First Vegetative","40","40","38","56","63","67","89","97","96","76","74","76","77",NA,NA
"2132-ROWLAND","491","2015-05-02","27","4","2015-05-29","First Vegetative","40","40","38","56","63","67","89","97","96","76","74","76","77",NA,NA
"Irwins","662","2015-05-01","29","5","2015-05-30","First Vegetative","","","","","","","","","","","","","","",""
"Baustian","613","2015-05-01","29","5","2015-05-30","First Vegetative","","","","","","","","","","","","","","",""
"Peterson","585","2015-04-27","33","5","2015-05-30","First Vegetative","","","","","","","","","","","","","","",""
"Jason Spain","1000","2015-04-30","30","5","2015-05-30","First Vegetative","","","","","","","","","","","","","","",""
"Elvira","650","2015-04-30","30","5","2015-05-30","First Vegetative","","","","","","","","","","","","","","",""
"Lone Tree 9","587","2015-04-21","39","5","2015-05-30","First Vegetative","","","","","","","","","","","","","","",""
"Wisconsin","616","2015-05-01","29","5","2015-05-30","First Vegetative","","","","","","","","","","","","","","",""
"2091-BAILEY","363","2015-05-03","27","5","2015-05-30","First Vegetative","","","","","","","","","","","","","","",""
"Dads","1002","2015-05-01","30","6","2015-05-31","First Vegetative","","","","","","","","","","","","","","",""
"Hoover/Wagner North","584","2015-04-29","32","6","2015-05-31","First Vegetative","","","","","","","","","","","","","","",""
"Tom Wilson","1630","2015-05-03","28","6","2015-05-31","First Vegetative","","","","","","","","","","","","","","",""
"Houston","1631","2015-05-02","29","6","2015-05-31","First Vegetative","","","","","","","","","","","","","","",""
"Lowden","601","2015-05-01","31","7","2015-06-01","First Vegetative","","","","","","","","","","","","","","",""
"Chubbies","996","2015-05-02","30","7","2015-06-01","First Vegetative","","","","","","","","","","","","","","",""
"Home","997","2015-05-01","31","7","2015-06-01","First Vegetative","","","","","","","","","","","","","","",""
"Frank's","657","2015-05-01","31","7","2015-06-01","First Vegetative","","","","","","","","","","","","","","",""
"Barber","1004","2015-05-02","30","7","2015-06-01","First Vegetative","","","","","","","","","","","","","","",""
"Home","1008","2015-05-02","30","7","2015-06-01","First Vegetative","","","","","","","","","","","","","","",""
"KTNW & KTNE","636","2015-05-04","28","7","2015-06-01","First Vegetative","","","","","","","","","","","","","","",""
"Stevenson corn 2015","990","2015-05-02","30","7","2015-06-01","First Vegetative","","","","","","","","","","","","","","",""
"House","327","2015-04-20","42","7","2015-06-01","First Vegetative","","","","","","","","","","","","","","",""
"North Field","579","2015-04-30","33","8","2015-06-02","First Vegetative","","","","","","","","","","","","","","",""
"South Corn","580","2015-04-29","34","8","2015-06-02","First Vegetative","","","","","","","","","","","","","","",""
"#7","1641","2015-05-04","29","8","2015-06-02","First Vegetative","","","","","","","","","","","","","","",""
"Betty's","625","2015-04-30","33","8","2015-06-02","First Vegetative","","","","","","","","","","","","","","",""
"Robert Grossman","628","2015-04-30","33","8","2015-06-02","First Vegetative","","","","","","","","","","","","","","",""
"Banowetz South","602","2015-05-01","32","8","2015-06-02","First Vegetative","","","","","","","","","","","","","","",""
"Doyle","603","2015-05-01","32","8","2015-06-02","First Vegetative","","","","","","","","","","","","","","",""
"Curtis","605","2015-05-03","30","8","2015-06-02","First Vegetative","","","","","","","","","","","","","","",""
"Hofer","607","2015-05-04","29","8","2015-06-02","First Vegetative","","","","","","","","","","","","","","",""
"Pithan East","999","2015-05-01","32","8","2015-06-02","First Vegetative","","","","","","","","","","","","","","",""
"Larry Jr. Farm","632","2015-04-30","33","8","2015-06-02","First Vegetative","","","","","","","","","","","","","","",""
"W-150","597","2015-05-05","29","9","2015-06-03","First Vegetative","","","","","","","","","","","","","","",""
"Joice","640","2015-05-04","30","9","2015-06-03","First Vegetative","","","","","","","","","","","","","","",""
"Larry Jr. corn 2015","1010","2015-05-02","32","9","2015-06-03","First Vegetative","","","","","","","","","","","","","","",""
"Pitts 5","582","2015-05-02","32","9","2015-06-03","First Vegetative","","","","","","","","","","","","","","",""
"Pitts 5","583","2015-05-02","32","9","2015-06-03","First Vegetative","","","","","","","","","","","","","","",""
"Grell Farm","627","2015-04-28","36","9","2015-06-03","First Vegetative","","","","","","","","","","","","","","",""
"Humboldt Farm","354","2015-04-29","36","10","2015-06-04","First Vegetative","","","","","","","","","","","","","","",""
"Apple Field 1","679","2015-05-01","34","10","2015-06-04","First Vegetative","","","","","","","","","","","","","","",""
"Apple Field 2","680","2015-05-01","34","10","2015-06-04","First Vegetative","","","","","","","","","","","","","","",""
"Boehnke Split","621","2015-04-28","37","10","2015-06-04","First Vegetative","","","","","","","","","","","","","","",""
"Trail Farm","622","2015-04-28","37","10","2015-06-04","First Vegetative","","","","","","","","","","","","","","",""
"Liza1","902","2015-05-01","34","10","2015-06-04","First Vegetative","","","","","","","","","","","","","","",""
"Home Place","338","2015-05-02","34","11","2015-06-05","First Vegetative","","","","","","","","","","","","","","",""
"The 80","339","2015-05-01","35","11","2015-06-05","First Vegetative","","","","","","","","","","","","","","",""
"Kennings","341","2015-05-01","35","11","2015-06-05","First Vegetative","","","","","","","","","","","","","","",""
"Home W Farm","629","2015-04-30","36","11","2015-06-05","First Vegetative","","","","","","","","","","","","","","",""
"Arvids N 80","630","2015-05-01","35","11","2015-06-05","First Vegetative","","","","","","","","","","","","","","",""
"Stricker 80 Split","631","2015-04-30","36","11","2015-06-05","First Vegetative","","","","","","","","","","","","","","",""
"Kings","344","2015-05-03","34","12","2015-06-06","First Vegetative","","","","","","","","","","","","","","",""
"PH3","670","2015-04-30","37","12","2015-06-06","First Vegetative","","","","","","","","","","","","","","",""
"Hartje NE","588","2015-05-02","35","12","2015-06-06","First Vegetative","","","","","","","","","","","","","","",""
"Hartje NW","589","2015-05-02","35","12","2015-06-06","First Vegetative","","","","","","","","","","","","","","",""
"Hartje West","590","2015-05-02","35","12","2015-06-06","First Vegetative","","","","","","","","","","","","","","",""
"Peitzke Farm","624","2015-05-02","35","12","2015-06-06","First Vegetative","","","","","","","","","","","","","","",""
"Home Farm Split","626","2015-05-01","36","12","2015-06-06","First Vegetative","","","","","","","","","","","","","","",""
"Precision Ag - Innovation","320","2015-04-23","45","13","2015-06-07","First Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW3","323","2015-04-24","44","13","2015-06-07","First Vegetative","","","","","","","","","","","","","","",""
"Agronomy SW4N","573","2015-04-24","44","13","2015-06-07","First Vegetative","","","","","","","","","","","","","","",""
"Dad's","1006","2015-05-12","27","14","2015-06-08","First Vegetative","","","","","","","","","","","","","","",""
"Mente","638","2015-05-10","29","14","2015-06-08","First Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW1","322","2015-04-25","44","14","2015-06-08","First Vegetative","","","","","","","","","","","","","","",""
"Agronomy - NE7","578","2015-04-25","44","14","2015-06-08","First Vegetative","","","","","","","","","","","","","","",""
"Across from Bins","569","2015-05-04","35","14","2015-06-08","First Vegetative","","","","","","","","","","","","","","",""
"Across Road from Bins","570","2015-05-04","35","14","2015-06-08","First Vegetative","","","","","","","","","","","","","","",""
"Packwood corn 2015","993","2015-05-13","27","15","2015-06-09","First Vegetative","","","","","","","","","","","","","","",""
"Spider Ag Cover Crop/Quick Roots Trial","332","2015-05-16","24","15","2015-06-09","First Vegetative","","","","","","","","","","","","","","",""
"Wheat Farm 2","895","2015-05-01","39","15","2015-06-09","First Vegetative","","","","","","","","","","","","","","",""
"Hazen","1005","2015-05-12","28","15","2015-06-09","First Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW5","576","2015-04-27","43","15","2015-06-09","First Vegetative","","","","","","","","","","","","","","",""
"Tucker beans 2015","987","2015-05-13","27","15","2015-06-09","First Vegetative","","","","","","","","","","","","","","",""
"County Home","1003","2015-05-15","26","16","2015-06-10","First Vegetative","","","","","","","","","","","","","","",""
"County Poor Farm","623","2015-05-08","33","16","2015-06-10","First Vegetative","","","","","","","","","","","","","","",""
"Mud Creek beans 2015","985","2015-05-15","26","16","2015-06-10","First Vegetative","","","","","","","","","","","","","","",""
"South River Farms","907","2015-04-30","41","16","2015-06-10","First Vegetative","","","","","","","","","","","","","","",""
"Chris North 1/4","910","2015-04-30","41","16","2015-06-10","First Vegetative","","","","","","","","","","","","","","",""
"Walfreds","939","2015-04-30","41","16","2015-06-10","First Vegetative","","","","","","","","","","","","","","",""
"Cosh North","957","2015-04-30","41","16","2015-06-10","First Vegetative","","","","","","","","","","","","","","",""
"Reuters Middle","961","2015-04-30","41","16","2015-06-10","First Vegetative","","","","","","","","","","","","","","",""
"Cosh South","967","2015-04-30","41","16","2015-06-10","First Vegetative","","","","","","","","","","","","","","",""
"Carl McKinney","1629","2015-05-19","23","17","2015-06-11","First Vegetative","","","","","","","","","","","","","","",""
"Homer","1628","2015-05-20","22","17","2015-06-11","First Vegetative","","","","","","","","","","","","","","",""
"Noelle TEST1","905","2015-05-14","28","17","2015-06-11","First Vegetative","","","","","","","","","","","","","","",""
"SW8","1635","2015-05-20","23","18","2015-06-12","First Vegetative","","","","","","","","","","","","","","",""
"K-State East","330","2015-05-21","22","18","2015-06-12","First Vegetative","","","","","","","","","","","","","","",""
"PH 2","669","2015-05-10","33","18","2015-06-12","First Vegetative","","","","","","","","","","","","","","",""
"Olsens","914","2015-05-02","41","18","2015-06-12","First Vegetative","","","","","","","","","","","","","","",""
"Packwood beans 2015","994","2015-05-19","25","19","2015-06-13","First Vegetative","","","","","","","","","","","","","","",""
"40","995","2015-05-19","26","20","2015-06-14","First Vegetative","","","","","","","","","","","","","","",""
"Wilkon","649","2015-05-19","26","20","2015-06-14","First Vegetative","","","","","","","","","","","","","","",""
"Larry Jr. beans 2015","1009","2015-05-18","27","20","2015-06-14","First Vegetative","","","","","","","","","","","","","","",""
"Home","606","2015-05-20","25","20","2015-06-14","First Vegetative","","","","","","","","","","","","","","",""
"Wheat Field 1","894","2015-05-07","39","21","2015-06-15","First Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW4","321","2015-05-08","40","23","2015-06-17","First Vegetative","","","","","","","","","","","","","","",""
"Test Field 3","904","2015-05-07","41","23","2015-06-17","First Vegetative","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Westcott/Rebuhn","586","2015-04-22","50","17","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
